region,code,EE_voter_count,EE_newcomers,EE_65plus_ratio,EE_2030_ratio,EE_4050_ratio,EE_f2030_ratio,PL_prg_str,PL_prg_member,PL_prog_local_cand,PL_swing_A,PL_gap_A,PL_swing_B,PL_gap_B,PL_incum_str,PL_incum_rpl
서울 강서구병,2411,157031,785,0.20704829,0.387585891,0.3270246,0.204711172,600,1,0,0,10.582,0,10.72969234,1,1
서울 관악구을,2412,203916,1020,0.21999745,0.417147257,0.286637635,0.19006846,400,1,0,3,8.392,3,8.751002221,2,2
서울 구로구갑,2413,203539,1018,0.258859481,0.313070222,0.340190332,0.158141683,500,2,1,1,10.404,1,10.62263765,2,1
서울 서대문구갑,2414,128055,640,0.210995275,0.402303698,0.310280739,0.216688142,300,0,0,1,10.07,1,10.08218277,2,2
서울 은평구갑,2415,216721,1084,0.243834238,0.318067931,0.353385228,0.163915818,300,1,1,0,16.522,0,17.03231524,3,1
경기 고양시을,2421,232865,1164,0.188757435,0.342936895,0.382118395,0.175470766,1900,2,0,1,9.474,1,10.00526775,3,3
경기 부천시을,2422,212991,1065,0.192651333,0.333399064,0.373363194,0.168612758,1007,3,0,1,13.168,1,13.51834028,3,3
경기 수원시을,2423,213931,1070,0.181899771,0.354497478,0.37331663,0.164941032,466,1,1,1,13.278,1,13.53986723,2,2
경기 평택시을,2424,170068,850,0.174012748,0.358115577,0.391425783,0.154508785,1798,2,1,2,5.088,2,5.322098905,1,2
경기 화성시을,2425,184991,925,0.076906444,0.40624679,0.46613619,0.205447833,1000,1,1,2,9.014,2,9.970021396,3,2
